SNo,Date,StartupName,IndustryVertical,SubVertical,InvestmentType,New,AmountInUSD
69,12/6/2017,Boxx.ai,Technology,Artificial Intelligence,Private Equity,500,"500,000"
70,12/6/2017,PeeSafe.in,Healthcare,Hygiene care product manufacturer,Private Equity,1000,"1,000,000"
71,12/6/2017,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Seed Funding,776,"776,000"
72,12/6/2017,CoverFox,Consumer Internet,Online insurance brokerage platform,Private Equity,15000,"15,000,000"
74,13/06/2017,Goodera,Technology,CSR and sustainability management platform,Private Equity,5500,"5,500,000"
76,14/06/2017,Ola,Consumer Internet,Cab Aggregation App,Private Equity,50000,"50,000,000"
78,14/06/2017,MrNeeds,Consumer Internet,Micro Food Delivery platform,Seed Funding,500,"500,000"
79,15/06/2017,MoneyTap,Consumer Internet,Money Lending platform,Private Equity,12300,"12,300,000"
80,16/06/2017,Goodbox,eCommerce,Mobile SAAS  ECommerce platform for SMEs,Private Equity,1000,"1,000,000"
81,16/06/2017,Fincash,Consumer Internet,Personal Finance platform,Seed Funding,100,"100,000"
82,16/06/2017,PortDesk,Technology,Maritime Solutions,Seed Funding,2000,"2,000,000"
86,19/06/2017,Unbxd,Technology,Cloud-based product discovery platform,Private Equity,12500,"12,500,000"
87,19/06/2017,DarwinBox,Technology,Enterprise human resources management platform,Private Equity,4000,"4,000,000"
88,20/06/2017,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Seed Funding,300,"300,000"
89,20/06/2017,Insider.in,Consumer Internet,Events Ticketing platform,Private Equity,5200,"5,200,000"
90,21/06/2017,Fynd,eCommerce,Fashion etailer,Private Equity,2400,"2,400,000"
91,21/06/2017,Grow Fit,Consumer Internet,Health-Tech platform,Private Equity,4500,"4,500,000"
92,21/06/2017,Fabulyst,Technology,Artificial Intelligence based platform,Seed Funding,215,"215,000"
93,21/06/2017,mSwipe,Technology,Point-of-Sale services,Private Equity,31000,"31,000,000"
95,22/06/2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Private Equity,4600,"4,600,000"
96,22/06/2017,Kissht,Consumer Internet,Consumer Lending platform,Private Equity,2000,"2,000,000"
97,22/06/2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Seed Funding,500,"500,000"
98,23/06/2017,Loantap,Consumer Internet,Lending platform for salaried professionals,Private Equity,4000,"4,000,000"
99,23/06/2017,Voxweb,Consumer Internet,Mobile based social networking platform,Seed Funding,1000,"1,000,000"
100,26/06/2017,HUG Innovations,Technology,Gesture based  Smartwatch manufacturer,Private Equity,5000,"5,000,000"
101,26/06/2017,Flipkart,eCommerce,Online marketplace,Private Equity,71000,"71,000,000"
102,26/06/2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Private Equity,4000,"4,000,000"
103,27/06/2017,Stashfin,Consumer Internet,Personal Finance App,Private Equity,5000,"5,000,000"
105,27/06/2017,Spares Hub,eCommerce,Automobile parts marketplace,Seed Funding,311,"311,000"
107,28/06/2017,Rubique,Consumer Internet,Online Marketplace for financial products,Private Equity,3000,"3,000,000"
108,28/06/2017,Niki.ai,Consumer Internet,AI Based Personal Assistant,Private Equity,2000,"2,000,000"
109,29/06/2017,Fitpass,Consumer Internet,Online Fitness Marketplace,Private Equity,1000,"1,000,000"
111,30/06/2017,Tagos Design,Technology,in-video discovery platform,Private Equity,5000,"5,000,000"
112,30/06/2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Private Equity,21000,"21,000,000"
113,1/5/2017,Ace2three,Consumer Internet,Online Rummy playing Website,Private Equity,73700,"73,700,000"
114,1/5/2017,Power2SME,eCommerce,Buying portal for SMEs,Private Equity,10000,"10,000,000"
115,2/5/2017,Innovapptive,Technology,Enterprise Mobility Solutions,Seed Funding,1500,"1,500,000"
116,2/5/2017,4tigo,Logistics,Truck Network company,Private Equity,10000,"10,000,000"
118,2/5/2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Seed Funding,390,"390,000"
119,3/5/2017,Ola,Consumer Internet,Cab Aggregation App,Private Equity,104500,"104,500,000"
120,3/5/2017,Sumeru,Technology,Software & Mobile development services,Seed Funding,1000,"1,000,000"
126,5/5/2017,Balance App,Consumer Internet,Money Savings & Management App,Seed Funding,233,"233,000"
127,8/5/2017,YepMe,eCommerce,Private Label Fashion etailer,Private Equity,700,"700,000"
